ticker,date,pe,ps,p_fcf,earnings_yield,sales_yield,fcf_yield,eps_ttm,rev_ps_ttm,fcf_ps_ttm,market_cap,adj_close,shares,revenue_ttm,net_income_ttm,fcf_ttm,revenue_q,asof_fiscal_period_end,asof_filed_date
FUND:AEE,2026-07-02,20.795054950864294,3.569685035494164,,0.04808835573470978,0.2801367599821217,-0.042440182718625104,5.474137931034483,31.889367816091955,-4.83117816091954,31691.663745117185,113.83499908447266,278.4,8878.0,1524.0,-1345.0,2176.0,2026-03-31,2026-05-08
FUND:AEP,2026-07-02,20.511531456256733,3.3410216770910615,,0.04875306371601839,0.29930964137612937,-0.030047044194984513,6.679413732465168,41.00691887820947,-4.116595436647936,74949.13594116211,137.0050048828125,547.054,22432.999,3654.0,-2252.0,6020.0,2026-03-31,2026-05-05
FUND:AES,2026-07-02,7.7738788535042005,0.8348499673699955,,0.12863591250193382,1.1978200144755016,-0.14187361266991808,1.8755244755244755,17.464335664335664,-2.0685314685314684,10424.771542549133,14.580100059509277,715.0,12487.0,1341.0,-1479.0,3180.0,2026-03-31,2026-05-05
FUND:AFG,2026-07-02,13.527957906712171,1.4550997307880567,7.68653846153846,0.07392098695870643,0.6872381176638782,0.13009757317988493,10.552220888355343,98.1032412965186,18.571428571428573,11891.074999999999,142.75,83.3,8172.0,879.0,1547.0,1854.0,2026-03-31,2026-05-07
FUND:AFL,2026-07-02,13.27603393943069,3.398172114796857,,0.07532370017750065,0.29427585367016645,,9.005701409326225,35.18362034635819,,61547.69334320068,119.55999755859375,514.785,18112.0,4636.0,,4346.0,2026-03-31,2026-05-06
FUND:AFRM,2026-07-02,76.98796168650503,7.4132599307054345,37.417417030351245,0.01298904371662676,0.13489342196919857,0.02672552194580527,1.0986133175522914,11.409285630154816,2.2604446461762095,29442.04426,84.58,348.097,3971.5381000000007,382.424,786.854,1038.765,2026-03-31,2026-05-07
FUND:AGCO,2026-07-02,10.984206225680934,0.8163193052128317,15.493638858397366,0.09103980564949817,1.2250108427109645,0.06454261707913839,10.605226960110041,142.70151306740027,7.518569463548831,8468.823,116.49,72.7,10374.4,771.0,546.6,2342.9,2026-03-31,2026-05-05
FUND:AGNC,2026-07-02,9.484331797235022,3.313281459618996,,0.10543705359311988,0.301815590431304,,1.1598075895243187,3.319971494744344,,12348.599999999999,11.0,1122.6,3727.0,1302.0,,1050.0,2026-03-31,2026-05-04
FUND:AGO,2026-07-02,9.153296385542168,3.7023567251461986,,0.10925025890995094,0.27009823046171005,,9.140969162995596,22.599118942731277,,3798.618,83.67,45.4,1026.0,415.0,,261.0,2026-03-31,2026-05-08
FUND:AIG,2026-07-02,13.363640309985172,1.5855591554636712,,0.07482990987514161,0.6306923311906115,,5.830372496430488,49.14039356213257,,42242.46701986313,77.91500091552734,542.1609,26642.0,3161.0,,6650.0,2026-03-31,2026-05-01
FUND:AIT,2026-07-02,30.87903834198944,2.576658333211056,28.288543909605544,0.0323844281976941,0.3880995734323031,0.03534999903831897,10.714388069207091,128.40274387007747,11.695547181827832,12467.7514,330.85,37.684,4838.728999999999,403.761,440.735,1251.453,2026-03-31,2026-04-28
FUND:AIZ,2026-07-02,13.95646198029266,1.0515810841356041,9.531148553483611,0.07165139713861997,0.9509490186598368,0.1049191495010853,19.753932458922343,262.17189666438236,28.925685690152516,13839.227699658204,275.69500732421875,50.1976,13160.4,991.6000000000001,1452.0,3420.1,2026-03-31,2026-05-07
FUND:AJG,2026-07-02,39.98131526614255,4.304406592048803,34.61325682446473,0.02501168341619896,0.23232006052755855,0.02889066478405458,6.204773287143957,57.63279830638953,7.167051578137028,64449.88420715332,248.0749969482422,259.8,14973.001,1612.0001,1862.0,4758.0,2026-03-31,2026-05-07
FUND:AKAM,2026-07-02,38.231256629836004,3.8994188945873187,21.7558523995473,0.026156608182729503,0.25644846758784334,0.04596464351912997,2.9007678873765186,28.440135446801136,5.097479036407993,16637.440028915404,110.9000015258789,150.022,4266.646,435.17900000000003,764.7339999999999,1073.61,2026-03-31,2026-05-08
FUND:ALAB,2026-07-02,275.10818473610465,73.51966554295596,214.77215574853636,0.003634933656951145,0.013601802900146783,0.004656097046261617,1.4773097368580843,5.528044734677655,1.8923309615416462,73625.82794,406.42,181.157,1001.4440000000001,267.625,342.809,308.361,2026-03-31,2026-05-06
FUND:ALB,2026-07-02,,2.939712441404949,26.555115148269955,-0.024741380486852472,0.3401693260590071,0.037657528292252544,-3.369404841198243,46.32595883885436,5.128390398543088,16152.494005432129,136.18499755859375,118.607,5494.583,-399.635,608.263,1428.731,2026-03-31,2026-05-06
FUND:ALGM,2026-07-02,,11.534380352793406,82.20401315125747,-0.0014510009606937882,0.08669733175201035,0.012164856211581478,-0.08050878830409483,4.810401452260294,0.6749670468995983,10266.7058145,55.485,185.0357,890.096,-14.897,124.893,243.187,2026-03-31,2026-05-21
